""
"Indicator name: Intentional homicide  Data Source: UNODC(http://www.unodc.org/), Crime and criminal justice database(https://www.unodc.org/unodc/en/data-and-analysis/statistics/historic-data.html)"
"Description: Number of victims in total population express per 100,000 population. Intentional homicide is unlawful death purposefully inflicted on a person by another person. Data on intentional homicide should exclude attempted homicides."
"INDICATOR NAME (unit)","COUNTRY NAME","YEAR","VALUE"
"Intentional homicide (Per 100,000 population)","Croatia","1995","3.60"
"Intentional homicide (Per 100,000 population)","Croatia","1996","2.67"
"Intentional homicide (Per 100,000 population)","Croatia","1997","2.60"
"Intentional homicide (Per 100,000 population)","Croatia","1998","2.34"
"Intentional homicide (Per 100,000 population)","Croatia","1999","2.49"
"Intentional homicide (Per 100,000 population)","Croatia","2000","2.28"
"Intentional homicide (Per 100,000 population)","Croatia","2001","1.84"
"Intentional homicide (Per 100,000 population)","Croatia","2002","1.66"
"Intentional homicide (Per 100,000 population)","Croatia","2003","1.57"
"Robbery (Per 100,000 population)","Croatia","2003","0.01"
"Intentional homicide (Per 100,000 population)","Croatia","2004","1.89"
"Robbery (Per 100,000 population)","Croatia","2004","0.02"
"Intentional homicide (Per 100,000 population)","Croatia","2005","1.55"
"Robbery (Per 100,000 population)","Croatia","2005","0.02"
"Intentional homicide (Per 100,000 population)","Croatia","2006","1.69"
"Robbery (Per 100,000 population)","Croatia","2006","0.01"
"Intentional homicide (Per 100,000 population)","Croatia","2007","1.42"
"Robbery (Per 100,000 population)","Croatia","2007","0.01"
"Intentional homicide (Per 100,000 population)","Croatia","2008","1.63"
"Robbery (Per 100,000 population)","Croatia","2008","0.01"
"Intentional homicide (Per 100,000 population)","Croatia","2009","1.13"
"Robbery (Per 100,000 population)","Croatia","2009","0.01"
"Intentional homicide (Per 100,000 population)","Croatia","2010","1.43"
"Robbery (Per 100,000 population)","Croatia","2010","0.01"
"Intentional homicide (Per 100,000 population)","Croatia","2011","1.14"
"Robbery (Per 100,000 population)","Croatia","2011","0.01"
"Intentional homicide (Per 100,000 population)","Croatia","2012","1.19"
"Robbery (Per 100,000 population)","Croatia","2012","0.02"
"Intentional homicide (Per 100,000 population)","Croatia","2013","1.08"
"Robbery (Per 100,000 population)","Croatia","2013","0.02"
"Intentional homicide (Per 100,000 population)","Croatia","2014","0.85"
"Robbery (Per 100,000 population)","Croatia","2014","0.01"
"Intentional homicide (Per 100,000 population)","Croatia","2015","0.87"
"Robbery (Per 100,000 population)","Croatia","2015","0.01"
"Intentional homicide (Per 100,000 population)","Croatia","2016","1.05"
"Robbery (Per 100,000 population)","Croatia","2016","0.01"
"Intentional homicide (Per 100,000 population)","Croatia","2017","1.10"
"Robbery (Per 100,000 population)","Croatia","2017","0.01"
"Intentional homicide (Per 100,000 population)","Croatia","2018","0.58"
"Intentional homicide (Per 100,000 population)","Cuba","1992","6.27"
"Intentional homicide (Per 100,000 population)","Cuba","1993","7.43"
"Intentional homicide (Per 100,000 population)","Cuba","1994","8.31"
"Intentional homicide (Per 100,000 population)","Cuba","1995","7.82"
"Intentional homicide (Per 100,000 population)","Cuba","1996","6.69"
"Intentional homicide (Per 100,000 population)","Cuba","1997","6.80"
"Intentional homicide (Per 100,000 population)","Cuba","1998","7.41"
"Intentional homicide (Per 100,000 population)","Cuba","1999","5.49"
"Intentional homicide (Per 100,000 population)","Cuba","2000","5.28"
"Intentional homicide (Per 100,000 population)","Cuba","2001","5.42"
"Intentional homicide (Per 100,000 population)","Cuba","2002","5.90"
"Intentional homicide (Per 100,000 population)","Cuba","2003","5.72"
"Intentional homicide (Per 100,000 population)","Cuba","2004","5.87"
"Intentional homicide (Per 100,000 population)","Cuba","2005","6.07"
"Intentional homicide (Per 100,000 population)","Cuba","2006","5.11"
"Intentional homicide (Per 100,000 population)","Cuba","2007","5.05"
"Intentional homicide (Per 100,000 population)","Cuba","2008","4.58"
"Intentional homicide (Per 100,000 population)","Cuba","2009","5.03"
"Intentional homicide (Per 100,000 population)","Cuba","2010","4.50"
"Intentional homicide (Per 100,000 population)","Cuba","2011","4.75"
"Intentional homicide (Per 100,000 population)","Cuba","2012","5.52"
"Intentional homicide (Per 100,000 population)","Cuba","2013","5.97"
"Intentional homicide (Per 100,000 population)","Cuba","2014","5.31"
"Intentional homicide (Per 100,000 population)","Cuba","2015","5.47"
"Intentional homicide (Per 100,000 population)","Cuba","2016","5.05"
"Intentional homicide (Per 100,000 population)","Cyprus","1990","0.65"
"Intentional homicide (Per 100,000 population)","Cyprus","1991","0.13"
"Intentional homicide (Per 100,000 population)","Cyprus","1992","0.25"
"Intentional homicide (Per 100,000 population)","Cyprus","1993","0.61"
"Intentional homicide (Per 100,000 population)","Cyprus","1994","0.84"
"Intentional homicide (Per 100,000 population)","Cyprus","1995","1.05"
"Intentional homicide (Per 100,000 population)","Cyprus","1996","1.14"
"Intentional homicide (Per 100,000 population)","Cyprus","1997","0.67"
"Intentional homicide (Per 100,000 population)","Cyprus","1998","0.77"
"Intentional homicide (Per 100,000 population)","Cyprus","1999","1.08"
"Intentional homicide (Per 100,000 population)","Cyprus","2000","0.85"
"Intentional homicide (Per 100,000 population)","Cyprus","2001","0.73"
"Intentional homicide (Per 100,000 population)","Cyprus","2002","0.20"
"Intentional homicide (Per 100,000 population)","Cyprus","2003","1.41"
"Robbery (Per 100,000 population)","Cyprus","2003","0.00"
"Intentional homicide (Per 100,000 population)","Cyprus","2004","1.58"
"Robbery (Per 100,000 population)","Cyprus","2004","0.00"
"Intentional homicide (Per 100,000 population)","Cyprus","2005","1.95"
"Robbery (Per 100,000 population)","Cyprus","2005","0.00"
"Intentional homicide (Per 100,000 population)","Cyprus","2006","1.43"
"Robbery (Per 100,000 population)","Cyprus","2006","0.00"
"Intentional homicide (Per 100,000 population)","Cyprus","2007","1.22"
"Robbery (Per 100,000 population)","Cyprus","2007","0.00"
"Intentional homicide (Per 100,000 population)","Cyprus","2008","0.83"
"Robbery (Per 100,000 population)","Cyprus","2008","0.00"
"Intentional homicide (Per 100,000 population)","Cyprus","2009","1.73"
"Robbery (Per 100,000 population)","Cyprus","2009","0.00"
"Intentional homicide (Per 100,000 population)","Cyprus","2010","0.72"
"Robbery (Per 100,000 population)","Cyprus","2010","0.00"
"Intentional homicide (Per 100,000 population)","Cyprus","2011","0.80"
"Robbery (Per 100,000 population)","Cyprus","2011","0.00"
"Intentional homicide (Per 100,000 population)","Cyprus","2012","1.94"
"Robbery (Per 100,000 population)","Cyprus","2012","0.00"
"Intentional homicide (Per 100,000 population)","Cyprus","2013","1.05"
"Robbery (Per 100,000 population)","Cyprus","2013","0.00"
"Intentional homicide (Per 100,000 population)","Cyprus","2014","0.95"
"Robbery (Per 100,000 population)","Cyprus","2014","0.00"
"Intentional homicide (Per 100,000 population)","Cyprus","2015","1.29"
"Robbery (Per 100,000 population)","Cyprus","2015","0.00"
"Intentional homicide (Per 100,000 population)","Cyprus","2016","1.11"
"Robbery (Per 100,000 population)","Cyprus","2016","0.00"
"Intentional homicide (Per 100,000 population)","Cyprus","2017","0.59"
"Robbery (Per 100,000 population)","Cyprus","2017","0.00"
"Intentional homicide (Per 100,000 population)","Cyprus","2018","1.26"
"Intentional homicide (Per 100,000 population)","Czechia","1994","2.00"
"Intentional homicide (Per 100,000 population)","Czechia","1995","1.70"
"Intentional homicide (Per 100,000 population)","Czechia","1996","1.67"
"Intentional homicide (Per 100,000 population)","Czechia","1997","1.81"
"Intentional homicide (Per 100,000 population)","Czechia","1998","1.69"
"Intentional homicide (Per 100,000 population)","Czechia","1999","1.67"
"Intentional homicide (Per 100,000 population)","Czechia","2000","1.86"
"Intentional homicide (Per 100,000 population)","Czechia","2001","1.31"
"Intentional homicide (Per 100,000 population)","Czechia","2002","1.36"
"Intentional homicide (Per 100,000 population)","Czechia","2003","1.59"
"Robbery (Per 100,000 population)","Czechia","2003","0.06"
"Intentional homicide (Per 100,000 population)","Czechia","2004","1.31"
"Robbery (Per 100,000 population)","Czechia","2004","0.06"
"Intentional homicide (Per 100,000 population)","Czechia","2005","1.05"
"Robbery (Per 100,000 population)","Czechia","2005","0.06"
"Intentional homicide (Per 100,000 population)","Czechia","2006","1.26"
"Robbery (Per 100,000 population)","Czechia","2006","0.05"
"Intentional homicide (Per 100,000 population)","Czechia","2007","1.22"
"Robbery (Per 100,000 population)","Czechia","2007","0.05"
"Intentional homicide (Per 100,000 population)","Czechia","2008","1.09"
"Robbery (Per 100,000 population)","Czechia","2008","0.05"
"Intentional homicide (Per 100,000 population)","Czechia","2009","0.90"
"Robbery (Per 100,000 population)","Czechia","2009","0.05"
"Intentional homicide (Per 100,000 population)","Czechia","2010","0.98"
"Robbery (Per 100,000 population)","Czechia","2010","0.04"
"Intentional homicide (Per 100,000 population)","Czechia","2011","0.81"
"Robbery (Per 100,000 population)","Czechia","2011","0.04"
"Intentional homicide (Per 100,000 population)","Czechia","2012","0.99"
"Robbery (Per 100,000 population)","Czechia","2012","0.03"
"Intentional homicide (Per 100,000 population)","Czechia","2013","0.85"
"Robbery (Per 100,000 population)","Czechia","2013","0.03"
"Intentional homicide (Per 100,000 population)","Czechia","2014","0.76"
"Robbery (Per 100,000 population)","Czechia","2014","0.03"
"Intentional homicide (Per 100,000 population)","Czechia","2015","0.83"
"Robbery (Per 100,000 population)","Czechia","2015","0.02"
"Intentional homicide (Per 100,000 population)","Czechia","2016","0.61"
"Robbery (Per 100,000 population)","Czechia","2016","0.02"
"Intentional homicide (Per 100,000 population)","Czechia","2017","0.62"
"Robbery (Per 100,000 population)","Czechia","2017","0.02"
"Intentional homicide (Per 100,000 population)","Denmark","1990","0.80"
"Intentional homicide (Per 100,000 population)","Denmark","1991","1.32"
"Intentional homicide (Per 100,000 population)","Denmark","1992","1.20"
"Intentional homicide (Per 100,000 population)","Denmark","1993","1.37"
"Intentional homicide (Per 100,000 population)","Denmark","1994","1.44"
"Intentional homicide (Per 100,000 population)","Denmark","1995","1.13"
"Intentional homicide (Per 100,000 population)","Denmark","1996","1.29"
"Intentional homicide (Per 100,000 population)","Denmark","1997","1.67"
"Intentional homicide (Per 100,000 population)","Denmark","1998","0.92"
"Intentional homicide (Per 100,000 population)","Denmark","1999","0.98"
"Intentional homicide (Per 100,000 population)","Denmark","2000","1.09"
"Intentional homicide (Per 100,000 population)","Denmark","2001","0.97"
"Intentional homicide (Per 100,000 population)","Denmark","2002","0.89"
"Intentional homicide (Per 100,000 population)","Denmark","2003","1.21"
"Robbery (Per 100,000 population)","Denmark","2003","0.03"
"Intentional homicide (Per 100,000 population)","Denmark","2004","0.80"
"Robbery (Per 100,000 population)","Denmark","2004","0.03"
"Intentional homicide (Per 100,000 population)","Denmark","2005","0.98"
"Robbery (Per 100,000 population)","Denmark","2005","0.03"
"Intentional homicide (Per 100,000 population)","Denmark","2006","0.53"
"Robbery (Per 100,000 population)","Denmark","2006","0.03"
"Intentional homicide (Per 100,000 population)","Denmark","2007","0.71"
"Robbery (Per 100,000 population)","Denmark","2007","0.03"
"Intentional homicide (Per 100,000 population)","Denmark","2008","0.98"
"Robbery (Per 100,000 population)","Denmark","2008","0.03"
"Intentional homicide (Per 100,000 population)","Denmark","2009","0.85"
"Robbery (Per 100,000 population)","Denmark","2009","0.04"
"Intentional homicide (Per 100,000 population)","Denmark","2010","0.76"
"Robbery (Per 100,000 population)","Denmark","2010","0.03"
"Intentional homicide (Per 100,000 population)","Denmark","2011","0.82"
"Robbery (Per 100,000 population)","Denmark","2011","0.03"
"Intentional homicide (Per 100,000 population)","Denmark","2012","0.84"
"Robbery (Per 100,000 population)","Denmark","2012","0.03"
"Intentional homicide (Per 100,000 population)","Denmark","2013","0.85"
"Robbery (Per 100,000 population)","Denmark","2013","0.03"
"Intentional homicide (Per 100,000 population)","Denmark","2014","1.31"
"Robbery (Per 100,000 population)","Denmark","2014","0.02"
"Intentional homicide (Per 100,000 population)","Denmark","2015","1.09"
"Robbery (Per 100,000 population)","Denmark","2015","0.02"
"Intentional homicide (Per 100,000 population)","Denmark","2016","0.98"
"Robbery (Per 100,000 population)","Denmark","2016","0.02"
"Intentional homicide (Per 100,000 population)","Denmark","2017","1.24"
"Robbery (Per 100,000 population)","Denmark","2017","0.02"
"Intentional homicide (Per 100,000 population)","Denmark","2018","1.01"
"Intentional homicide (Per 100,000 population)","Dominica","1998","12.82"
"Intentional homicide (Per 100,000 population)","Dominica","1999","10.02"
"Intentional homicide (Per 100,000 population)","Dominica","2000","2.87"
"Intentional homicide (Per 100,000 population)","Dominica","2001","1.44"
"Intentional homicide (Per 100,000 population)","Dominica","2002","12.89"
"Intentional homicide (Per 100,000 population)","Dominica","2003","11.41"
"Intentional homicide (Per 100,000 population)","Dominica","2004","11.37"
"Intentional homicide (Per 100,000 population)","Dominica","2005","11.33"
"Intentional homicide (Per 100,000 population)","Dominica","2006","7.07"
"Intentional homicide (Per 100,000 population)","Dominica","2007","9.89"
"Intentional homicide (Per 100,000 population)","Dominica","2008","9.88"
"Intentional homicide (Per 100,000 population)","Dominica","2009","18.35"
"Intentional homicide (Per 100,000 population)","Dominica","2010","21.16"
"Intentional homicide (Per 100,000 population)","Dominica","2011","8.46"
"Intentional homicide (Per 100,000 population)","Dominica","2014","12.66"
"Intentional homicide (Per 100,000 population)","Dominica","2015","12.64"
"Intentional homicide (Per 100,000 population)","Dominica","2016","22.44"
"Intentional homicide (Per 100,000 population)","Dominica","2017","26.59"
"Intentional homicide (Per 100,000 population)","Dominican Republic","1991","12.49"
"Intentional homicide (Per 100,000 population)","Dominican Republic","1992","10.89"
"Intentional homicide (Per 100,000 population)","Dominican Republic","1993","12.32"
"Intentional homicide (Per 100,000 population)","Dominican Republic","1994","13.08"
"Intentional homicide (Per 100,000 population)","Dominican Republic","1995","12.88"
"Intentional homicide (Per 100,000 population)","Dominican Republic","1996","12.98"
"Intentional homicide (Per 100,000 population)","Dominican Republic","1997","12.84"
"Intentional homicide (Per 100,000 population)","Dominican Republic","1998","13.65"
"Intentional homicide (Per 100,000 population)","Dominican Republic","1999","12.78"
"Intentional homicide (Per 100,000 population)","Dominican Republic","2000","14.28"
"Intentional homicide (Per 100,000 population)","Dominican Republic","2001","12.73"
"Intentional homicide (Per 100,000 population)","Dominican Republic","2002","14.66"
"Intentional homicide (Per 100,000 population)","Dominican Republic","2003","21.49"
"Intentional homicide (Per 100,000 population)","Dominican Republic","2004","24.95"
"Intentional homicide (Per 100,000 population)","Dominican Republic","2005","26.32"
"Intentional homicide (Per 100,000 population)","Dominican Republic","2006","23.26"
"Intentional homicide (Per 100,000 population)","Dominican Republic","2007","22.60"
"Intentional homicide (Per 100,000 population)","Dominican Republic","2008","25.31"
"Intentional homicide (Per 100,000 population)","Dominican Republic","2009","24.80"
"Intentional homicide (Per 100,000 population)","Dominican Republic","2010","25.52"
"Intentional homicide (Per 100,000 population)","Dominican Republic","2011","25.61"
"Intentional homicide (Per 100,000 population)","Dominican Republic","2012","22.84"
"Robbery (Per 100,000 population)","Dominican Republic","2012","0.02"
"Intentional homicide (Per 100,000 population)","Dominican Republic","2013","19.69"
"Intentional homicide (Per 100,000 population)","Dominican Republic","2014","17.81"
"Robbery (Per 100,000 population)","Dominican Republic","2014","0.08"
"Robbery (Per 100,000 population)","Dominican Republic","2015","0.08"
"Intentional homicide (Per 100,000 population)","Dominican Republic","2016","15.54"
"Robbery (Per 100,000 population)","Dominican Republic","2016","0.07"
"Intentional homicide (Per 100,000 population)","Dominican Republic","2017","11.57"
"Intentional homicide (Per 100,000 population)","Dominican Republic","2018","10.05"
"Intentional homicide (Per 100,000 population)","Ecuador","1990","8.72"
"Intentional homicide (Per 100,000 population)","Ecuador","1991","11.01"
"Intentional homicide (Per 100,000 population)","Ecuador","1992","8.73"
"Intentional homicide (Per 100,000 population)","Ecuador","1993","8.45"
"Intentional homicide (Per 100,000 population)","Ecuador","1994","10.16"
"Intentional homicide (Per 100,000 population)","Ecuador","1995","11.98"
"Intentional homicide (Per 100,000 population)","Ecuador","1996","12.50"
"Intentional homicide (Per 100,000 population)","Ecuador","1997","11.02"
"Intentional homicide (Per 100,000 population)","Ecuador","1998","13.47"
"Intentional homicide (Per 100,000 population)","Ecuador","1999","13.52"
"Intentional homicide (Per 100,000 population)","Ecuador","2000","14.45"
"Intentional homicide (Per 100,000 population)","Ecuador","2001","12.84"
"Intentional homicide (Per 100,000 population)","Ecuador","2002","14.50"
"Intentional homicide (Per 100,000 population)","Ecuador","2003","14.49"
"Robbery (Per 100,000 population)","Ecuador","2003","0.31"
"Intentional homicide (Per 100,000 population)","Ecuador","2004","17.58"
"Robbery (Per 100,000 population)","Ecuador","2004","0.31"
"Intentional homicide (Per 100,000 population)","Ecuador","2005","15.34"
"Robbery (Per 100,000 population)","Ecuador","2005","0.48"
"Intentional homicide (Per 100,000 population)","Ecuador","2006","16.96"
"Robbery (Per 100,000 population)","Ecuador","2006","0.53"
"Intentional homicide (Per 100,000 population)","Ecuador","2007","15.90"
"Intentional homicide (Per 100,000 population)","Ecuador","2008","17.94"
"Intentional homicide (Per 100,000 population)","Ecuador","2009","17.77"
"Robbery (Per 100,000 population)","Ecuador","2009","0.52"
"Intentional homicide (Per 100,000 population)","Ecuador","2010","17.47"
"Robbery (Per 100,000 population)","Ecuador","2010","0.54"
"Intentional homicide (Per 100,000 population)","Ecuador","2011","15.38"
"Robbery (Per 100,000 population)","Ecuador","2011","0.72"
"Intentional homicide (Per 100,000 population)","Ecuador","2012","12.43"
"Robbery (Per 100,000 population)","Ecuador","2012","0.86"
"Intentional homicide (Per 100,000 population)","Ecuador","2013","10.98"
"Robbery (Per 100,000 population)","Ecuador","2013","0.94"
"Intentional homicide (Per 100,000 population)","Ecuador","2014","8.22"
"Robbery (Per 100,000 population)","Ecuador","2014","0.89"
"Intentional homicide (Per 100,000 population)","Ecuador","2015","6.49"
"Robbery (Per 100,000 population)","Ecuador","2015","0.94"
"Intentional homicide (Per 100,000 population)","Ecuador","2016","5.84"
"Robbery (Per 100,000 population)","Ecuador","2016","0.82"
"Intentional homicide (Per 100,000 population)","Ecuador","2017","5.79"
"Robbery (Per 100,000 population)","Ecuador","2017","0.77"
"Intentional homicide (Per 100,000 population)","Ecuador","2018","5.80"
"Intentional homicide (Per 100,000 population)","Egypt","1990","0.48"
"Intentional homicide (Per 100,000 population)","Egypt","1991","0.50"
"Intentional homicide (Per 100,000 population)","Egypt","1992","0.47"
"Intentional homicide (Per 100,000 population)","Egypt","1993","0.41"
"Intentional homicide (Per 100,000 population)","Egypt","1994","0.38"
"Intentional homicide (Per 100,000 population)","Egypt","2003","0.65"
"Robbery (Per 100,000 population)","Egypt","2003","0.00"
"Intentional homicide (Per 100,000 population)","Egypt","2004","0.43"
"Robbery (Per 100,000 population)","Egypt","2004","0.00"
"Intentional homicide (Per 100,000 population)","Egypt","2005","0.69"
"Robbery (Per 100,000 population)","Egypt","2005","0.00"
"Intentional homicide (Per 100,000 population)","Egypt","2006","0.71"
"Robbery (Per 100,000 population)","Egypt","2006","0.01"
"Intentional homicide (Per 100,000 population)","Egypt","2007","0.87"
"Robbery (Per 100,000 population)","Egypt","2007","0.01"
"Intentional homicide (Per 100,000 population)","Egypt","2008","1.21"
"Robbery (Per 100,000 population)","Egypt","2008","0.01"
"Intentional homicide (Per 100,000 population)","Egypt","2009","1.12"
"Robbery (Per 100,000 population)","Egypt","2009","0.01"
"Intentional homicide (Per 100,000 population)","Egypt","2010","2.22"
"Robbery (Per 100,000 population)","Egypt","2010","0.01"
"Intentional homicide (Per 100,000 population)","Egypt","2011","3.20"
"Robbery (Per 100,000 population)","Egypt","2011","0.03"
"Intentional homicide (Per 100,000 population)","Egypt","2012","2.55"
"Intentional homicide (Per 100,000 population)","El Salvador","1994","137.96"
"Intentional homicide (Per 100,000 population)","El Salvador","1995","141.72"
"Intentional homicide (Per 100,000 population)","El Salvador","1996","119.37"
"Intentional homicide (Per 100,000 population)","El Salvador","1997","114.39"
"Intentional homicide (Per 100,000 population)","El Salvador","1998","96.31"
"Intentional homicide (Per 100,000 population)","El Salvador","1999","65.78"
"Intentional homicide (Per 100,000 population)","El Salvador","2000","60.31"
"Intentional homicide (Per 100,000 population)","El Salvador","2001","60.57"
"Intentional homicide (Per 100,000 population)","El Salvador","2002","47.55"
"Intentional homicide (Per 100,000 population)","El Salvador","2003","55.99"
"Intentional homicide (Per 100,000 population)","El Salvador","2004","64.69"
"Intentional homicide (Per 100,000 population)","El Salvador","2005","64.14"
"Robbery (Per 100,000 population)","El Salvador","2005","0.05"
"Intentional homicide (Per 100,000 population)","El Salvador","2006","64.60"
"Robbery (Per 100,000 population)","El Salvador","2006","0.06"
"Intentional homicide (Per 100,000 population)","El Salvador","2007","57.27"
"Robbery (Per 100,000 population)","El Salvador","2007","0.06"
"Intentional homicide (Per 100,000 population)","El Salvador","2008","51.84"
"Robbery (Per 100,000 population)","El Salvador","2008","0.06"
"Intentional homicide (Per 100,000 population)","El Salvador","2009","71.16"
"Robbery (Per 100,000 population)","El Salvador","2009","0.06"
"Intentional homicide (Per 100,000 population)","El Salvador","2010","64.47"
"Robbery (Per 100,000 population)","El Salvador","2010","0.05"
"Intentional homicide (Per 100,000 population)","El Salvador","2011","70.38"
"Robbery (Per 100,000 population)","El Salvador","2011","0.06"
"Intentional homicide (Per 100,000 population)","El Salvador","2012","41.58"
"Robbery (Per 100,000 population)","El Salvador","2012","0.06"
"Intentional homicide (Per 100,000 population)","El Salvador","2013","40.10"
"Robbery (Per 100,000 population)","El Salvador","2013","0.05"
"Intentional homicide (Per 100,000 population)","El Salvador","2014","62.29"
"Robbery (Per 100,000 population)","El Salvador","2014","0.05"
"Intentional homicide (Per 100,000 population)","El Salvador","2015","105.23"
"Robbery (Per 100,000 population)","El Salvador","2015","0.05"
"Intentional homicide (Per 100,000 population)","El Salvador","2016","83.01"
"Intentional homicide (Per 100,000 population)","El Salvador","2017","61.71"
"Intentional homicide (Per 100,000 population)","El Salvador","2018","52.02"
"Intentional homicide (Per 100,000 population)","Estonia","1990","7.54"
"Intentional homicide (Per 100,000 population)","Estonia","1991","7.69"
"Intentional homicide (Per 100,000 population)","Estonia","1992","14.27"
"Intentional homicide (Per 100,000 population)","Estonia","1993","18.95"
"Intentional homicide (Per 100,000 population)","Estonia","1994","20.73"
"Intentional homicide (Per 100,000 population)","Estonia","1995","17.17"
"Intentional homicide (Per 100,000 population)","Estonia","1996","15.09"
"Intentional homicide (Per 100,000 population)","Estonia","1997","12.63"
"Intentional homicide (Per 100,000 population)","Estonia","1998","13.94"
"Intentional homicide (Per 100,000 population)","Estonia","1999","11.18"
"Intentional homicide (Per 100,000 population)","Estonia","2000","10.22"
"Intentional homicide (Per 100,000 population)","Estonia","2001","9.84"
"Intentional homicide (Per 100,000 population)","Estonia","2002","10.27"
"Intentional homicide (Per 100,000 population)","Estonia","2003","10.71"
"Robbery (Per 100,000 population)","Estonia","2003","0.02"
"Intentional homicide (Per 100,000 population)","Estonia","2004","6.67"
"Robbery (Per 100,000 population)","Estonia","2004","0.02"
"Intentional homicide (Per 100,000 population)","Estonia","2005","8.34"
"Robbery (Per 100,000 population)","Estonia","2005","0.01"
"Intentional homicide (Per 100,000 population)","Estonia","2006","6.74"
"Robbery (Per 100,000 population)","Estonia","2006","0.01"
"Intentional homicide (Per 100,000 population)","Estonia","2007","7.14"
"Robbery (Per 100,000 population)","Estonia","2007","0.01"
"Intentional homicide (Per 100,000 population)","Estonia","2008","6.42"
"Robbery (Per 100,000 population)","Estonia","2008","0.01"
"Intentional homicide (Per 100,000 population)","Estonia","2009","5.24"
"Robbery (Per 100,000 population)","Estonia","2009","0.01"
"Intentional homicide (Per 100,000 population)","Estonia","2010","5.25"
"Robbery (Per 100,000 population)","Estonia","2010","0.01"
"Intentional homicide (Per 100,000 population)","Estonia","2011","4.90"
"Robbery (Per 100,000 population)","Estonia","2011","0.01"
"Intentional homicide (Per 100,000 population)","Estonia","2012","4.76"
"Robbery (Per 100,000 population)","Estonia","2012","0.00"
"Intentional homicide (Per 100,000 population)","Estonia","2013","3.94"
"Robbery (Per 100,000 population)","Estonia","2013","0.00"
"Intentional homicide (Per 100,000 population)","Estonia","2014","3.11"
"Robbery (Per 100,000 population)","Estonia","2014","0.00"
"Intentional homicide (Per 100,000 population)","Estonia","2015","3.42"
"Robbery (Per 100,000 population)","Estonia","2015","0.00"
"Intentional homicide (Per 100,000 population)","Estonia","2016","2.51"
"Intentional homicide (Per 100,000 population)","Estonia","2017","2.20"
"Robbery (Per 100,000 population)","Estonia","2017","0.00"
"Intentional homicide (Per 100,000 population)","Estonia","2018","2.12"
"Intentional homicide (Per 100,000 population)","Eswatini","1990","19.82"
"Intentional homicide (Per 100,000 population)","Eswatini","1991","20.11"
"Intentional homicide (Per 100,000 population)","Eswatini","1992","20.07"
"Intentional homicide (Per 100,000 population)","Eswatini","1993","19.60"
"Intentional homicide (Per 100,000 population)","Eswatini","1994","16.75"
"Intentional homicide (Per 100,000 population)","Eswatini","1998","16.84"
"Intentional homicide (Per 100,000 population)","Eswatini","1999","11.47"
"Intentional homicide (Per 100,000 population)","Eswatini","2000","12.73"
"Intentional homicide (Per 100,000 population)","Eswatini","2001","18.15"
"Intentional homicide (Per 100,000 population)","Eswatini","2002","13.15"
"Intentional homicide (Per 100,000 population)","Eswatini","2003","13.20"
"Robbery (Per 100,000 population)","Eswatini","2003","0.03"
"Intentional homicide (Per 100,000 population)","Eswatini","2004","14.23"
"Robbery (Per 100,000 population)","Eswatini","2004","0.03"
"Intentional homicide (Per 100,000 population)","Eswatini","2005","13.49"
"Intentional homicide (Per 100,000 population)","Eswatini","2006","12.26"
"Intentional homicide (Per 100,000 population)","Eswatini","2007","11.61"
"Intentional homicide (Per 100,000 population)","Eswatini","2008","20.67"
"Intentional homicide (Per 100,000 population)","Eswatini","2009","17.68"
"Intentional homicide (Per 100,000 population)","Eswatini","2010","19.53"
"Intentional homicide (Per 100,000 population)","Eswatini","2011","16.04"
"Intentional homicide (Per 100,000 population)","Eswatini","2012","9.64"
"Intentional homicide (Per 100,000 population)","Eswatini","2013","9.38"
"Intentional homicide (Per 100,000 population)","Eswatini","2014","10.78"
"Intentional homicide (Per 100,000 population)","Eswatini","2015","10.14"
"Intentional homicide (Per 100,000 population)","Eswatini","2016","10.41"
"Intentional homicide (Per 100,000 population)","Eswatini","2017","11.56"
"Intentional homicide (Per 100,000 population)","Ethiopia","2012","8.79"
"Intentional homicide (Per 100,000 population)","Fiji","1990","4.39"
"Intentional homicide (Per 100,000 population)","Fiji","1991","2.31"
"Intentional homicide (Per 100,000 population)","Fiji","1992","3.49"
"Intentional homicide (Per 100,000 population)","Fiji","1993","1.99"
"Intentional homicide (Per 100,000 population)","Fiji","1994","4.57"
"Intentional homicide (Per 100,000 population)","Fiji","1995","3.10"
"Intentional homicide (Per 100,000 population)","Fiji","1996","1.66"
"Intentional homicide (Per 100,000 population)","Fiji","1997","1.64"
"Intentional homicide (Per 100,000 population)","Fiji","2003","3.06"
"Intentional homicide (Per 100,000 population)","Fiji","2004","2.81"
"Intentional homicide (Per 100,000 population)","Fiji","2005","2.80"
"Intentional homicide (Per 100,000 population)","Fiji","2006","2.66"
"Intentional homicide (Per 100,000 population)","Fiji","2007","2.51"
"Intentional homicide (Per 100,000 population)","Fiji","2008","2.01"
"Intentional homicide (Per 100,000 population)","Fiji","2009","3.40"
"Intentional homicide (Per 100,000 population)","Fiji","2010","2.33"
"Intentional homicide (Per 100,000 population)","Fiji","2011","2.32"
"Intentional homicide (Per 100,000 population)","Fiji","2012","2.31"
"Intentional homicide (Per 100,000 population)","Fiji","2013","2.20"
"Intentional homicide (Per 100,000 population)","Fiji","2014","2.31"
"Intentional homicide (Per 100,000 population)","Finland","1990","3.04"
